Year,Pubs
1936,12
1937,15
1938,11
1939,18
1940,10
1941,13
1942,13
1943,8
1944,5
1945,9
1946,31
1947,10
1948,41
1949,52
1950,26
1951,21
1952,34
1953,114
1954,169
1955,159
1956,228
1957,249
1958,313
1959,531
1960,491
1961,721
1962,1030
1963,916
1964,906
1965,1082
1966,1276
1967,1589
1968,2038
1969,1939
1970,2015
1971,2663
1972,3064
1973,3600
1974,4078
1975,4389
1976,4886
1977,5301
1978,5803
1979,6005
1980,6980
1981,7790
1982,8871
1983,10059
1984,11717
1985,12397
1986,14421
1987,15729
1988,19055
1989,21994
1990,25736
1991,28609
1992,32679
1993,38909
1994,42945
1995,45290
1996,49304
1997,54014
1998,60084
1999,66878
2000,75890
2001,80975
2002,91438
2003,107942
2004,129874
2005,152240
2006,168265
2007,185093
2008,197889
2009,218282
2010,223376
2011,244599
2012,257147
2013,273738
2014,282840
2015,292799
2016,302625
2017,324339
2018,353797
2019,378762
